appid,review_score,review_score_desc,total_reviews
1451190,5.0,Mixed,12731.0
1222690,6.0,Mostly Positive,10264.0
244450,8.0,Very Positive,16159.0
445220,8.0,Very Positive,7710.0
458750,8.0,Very Positive,496.0
1273400,8.0,Very Positive,3080.0
3763830,0.0,No user reviews,0.0
3872850,0.0,No user reviews,0.0
870780,8.0,Very Positive,21920.0
1173510,8.0,Very Positive,1086.0
1433960,0.0,2 user reviews,2.0
1202130,8.0,Very Positive,5420.0
1374490,8.0,Very Positive,16722.0
253710,5.0,Mixed,234.0
3329480,0.0,No user reviews,0.0
22370,8.0,Very Positive,28841.0
228280,8.0,Very Positive,8881.0
242920,8.0,Very Positive,25364.0
3678950,8.0,Very Positive,54.0
1496790,6.0,Mostly Positive,10843.0
2569510,0.0,No user reviews,0.0
1385380,8.0,Very Positive,7451.0
2753900,8.0,Very Positive,1913.0
612880,6.0,Mostly Positive,16482.0
1593350,8.0,Very Positive,973.0
379720,9.0,Overwhelmingly Positive,81356.0
2951630,8.0,Very Positive,2448.0
3330,9.0,Overwhelmingly Positive,2330.0
1449560,8.0,Very Positive,9023.0
627270,8.0,Very Positive,6430.0
1097150,8.0,Very Positive,148864.0
2666510,9.0,Overwhelmingly Positive,6102.0
3587140,0.0,No user reviews,0.0
3436030,5.0,Mixed,389.0
1189490,8.0,Very Positive,366.0
1683150,9.0,Overwhelmingly Positive,2448.0
1827180,0.0,No user reviews,0.0
3314070,5.0,Mixed,2147.0
475150,8.0,Very Positive,7765.0
2772750,8.0,Very Positive,3206.0
2294660,5.0,Mixed,1557.0
3003300,5.0,Mixed,15.0
1239080,9.0,Overwhelmingly Positive,7034.0
1105420,0.0,No user reviews,0.0
859580,5.0,Mixed,12341.0
1714040,0.0,No user reviews,0.0
2725560,0.0,No user reviews,0.0
65800,8.0,Very Positive,8369.0
314160,8.0,Very Positive,13854.0
206480,8.0,Very Positive,60.0
1548520,0.0,No user reviews,0.0
1649080,8.0,Very Positive,2453.0
2141300,0.0,No user reviews,0.0
2417610,8.0,Very Positive,5162.0
2487150,6.0,Mostly Positive,346.0
447040,8.0,Very Positive,23265.0
3358250,6.0,Mostly Positive,169.0
1295510,8.0,Very Positive,3536.0
2277560,6.0,Mostly Positive,4547.0
412020,8.0,Very Positive,32499.0
1659420,8.0,Very Positive,8006.0
424030,8.0,Very Positive,10273.0
80776,0.0,No user reviews,0.0
286690,8.0,Very Positive,25539.0
2141730,8.0,Very Positive,9177.0
2162800,9.0,Overwhelmingly Positive,7231.0
1989270,9.0,Overwhelmingly Positive,19122.0
3146520,9.0,Overwhelmingly Positive,48515.0
1817190,8.0,Very Positive,18097.0
2384580,8.0,Very Positive,3646.0
589290,8.0,Very Positive,16694.0
2201320,9.0,Overwhelmingly Positive,4381.0
436150,6.0,Mostly Positive,33.0
493520,8.0,Very Positive,24615.0
1238000,6.0,Mostly Positive,9168.0
2420510,0.0,No user reviews,0.0
40970,9.0,Overwhelmingly Positive,5986.0
896660,0.0,No user reviews,0.0
653530,9.0,Overwhelmingly Positive,16629.0
78000,9.0,Overwhelmingly Positive,3552.0
3363270,8.0,Very Positive,78.0
1096530,8.0,Very Positive,12834.0
1276390,0.0,No user reviews,0.0
1532200,9.0,Overwhelmingly Positive,1652.0
2942780,8.0,Very Positive,365.0
1721110,8.0,Very Positive,2134.0
4050060,0.0,No user reviews,0.0
799600,8.0,Very Positive,7087.0
1124300,5.0,Mixed,11901.0
2080690,8.0,Very Positive,8438.0
3017860,8.0,Very Positive,12916.0
219150,9.0,Overwhelmingly Positive,39136.0
261640,6.0,Mostly Positive,18708.0
2439510,0.0,No user reviews,0.0
578650,8.0,Very Positive,16217.0
21000,8.0,Very Positive,5634.0
223850,8.0,Very Positive,7360.0
1286220,8.0,Very Positive,2663.0
2819520,0.0,No user reviews,0.0
3101040,8.0,Very Positive,128.0
780290,8.0,Very Positive,9841.0
3427660,0.0,No user reviews,0.0
2950340,6.0,Mostly Positive,465.0
218230,6.0,Mostly Positive,330.0
500,9.0,Overwhelmingly Positive,18772.0
42960,8.0,Very Positive,8966.0
42700,8.0,Very Positive,13838.0
213670,9.0,Overwhelmingly Positive,29404.0
368260,8.0,Very Positive,10827.0
698780,8.0,Very Positive,205.0
2767520,8.0,Very Positive,380.0
9450,9.0,Overwhelmingly Positive,7818.0
3127280,0.0,No user reviews,0.0
1170950,5.0,Mixed,7219.0
784950,0.0,3 user reviews,3.0
1072040,8.0,Very Positive,1734.0
750920,8.0,Very Positive,21818.0
843380,9.0,Overwhelmingly Positive,3095.0
1536610,0.0,No user reviews,0.0
1272080,5.0,Mixed,30387.0
1435790,9.0,Overwhelmingly Positive,8462.0
2051010,8.0,Very Positive,53.0
881020,8.0,Very Positive,10707.0
1909950,8.0,Very Positive,284.0
3216320,0.0,No user reviews,0.0
252530,8.0,Very Positive,2259.0
2780980,8.0,Very Positive,7988.0
2651440,7.0,Positive,14.0
386940,9.0,Overwhelmingly Positive,13631.0
2167580,0.0,1 user reviews,1.0
373420,8.0,Very Positive,10659.0
617290,8.0,Very Positive,23572.0
1333350,0.0,9 user reviews,9.0
1920490,6.0,Mostly Positive,1538.0
2218750,9.0,Overwhelmingly Positive,20035.0
620980,9.0,Overwhelmingly Positive,52487.0
1875830,9.0,Overwhelmingly Positive,3319.0
2140510,6.0,Mostly Positive,3571.0
860510,8.0,Very Positive,14710.0
2451100,8.0,Very Positive,471.0
342200,6.0,Mostly Positive,110.0
977950,9.0,Overwhelmingly Positive,13644.0
311310,5.0,Mixed,5446.0
1971650,8.0,Very Positive,4185.0
2440510,5.0,Mixed,5416.0
4019420,0.0,No user reviews,0.0
212910,9.0,Overwhelmingly Positive,9311.0
1486350,0.0,No user reviews,0.0
1127500,9.0,Overwhelmingly Positive,14824.0
895400,6.0,Mostly Positive,15754.0
3109050,0.0,7 user reviews,7.0
